상호명,지점명,상권업종소분류명,시도명,시군구명,행정동명,경도,위도
삼거리커피숍,,커피전문점/카페/다방,서울특별시,성동구,왕십리도선동,127.0304526,37.56431775
커피바실리아,,커피전문점/카페/다방,서울특별시,강북구,우이동,127.0126211,37.65112912
평범한카페,,커피전문점/카페/다방,서울특별시,강서구,등촌1동,126.8613327,37.55461733
AVECMOI,,커피전문점/카페/다방,서울특별시,강동구,길동,127.1449169,37.54325259
꼼작,,커피전문점/카페/다방,서울특별시,은평구,갈현2동,126.911109,37.61439293
카흐베하네,,커피전문점/카페/다방,서울특별시,광진구,중곡3동,127.0808755,37.56562212
에르마노키즈카페,,커피전문점/카페/다방,서울특별시,강동구,명일1동,127.1441768,37.54661718
Asthoughlhadwings..,,커피전문점/카페/다방,서울특별시,강남구,압구정동,127.0300098,37.52163144
CAFEB,,커피전문점/카페/다방,서울특별시,서초구,반포4동,127.0023932,37.50393001
여성건강카페화음,,커피전문점/카페/다방,서울특별시,은평구,녹번동,126.9288029,37.60244502
누아네,,커피전문점/카페/다방,서울특별시,용산구,용산2가동,126.9845227,37.54486554
커피오카,,커피전문점/카페/다방,서울특별시,강남구,압구정동,127.0378544,37.52741729
착한커피,,커피전문점/카페/다방,서울특별시,구로구,구로3동,126.896142,37.4865408
아름다운사람들의공간,,커피전문점/카페/다방,서울특별시,강동구,둔촌2동,127.1387804,37.53072836
삼무곡,,커피전문점/카페/다방,서울특별시,종로구,혜화동,127.0004006,37.58205193
연지다방,,커피전문점/카페/다방,서울특별시,금천구,독산2동,126.9025973,37.46575066
훈스커피랩,,커피전문점/카페/다방,서울특별시,금천구,가산동,126.8879876,37.46682148
동부,,커피전문점/카페/다방,서울특별시,광진구,구의1동,127.0870245,37.53758407
오설록,,커피전문점/카페/다방,서울특별시,동대문구,전농1동,127.0450216,37.58019578
카페나루,,커피전문점/카페/다방,서울특별시,광진구,광장동,127.1022366,37.54760328
보나비아티제,삼성생명본관점,커피전문점/카페/다방,서울특별시,중구,소공동,126.9749573,37.56161437
커피스테이션,,커피전문점/카페/다방,서울특별시,구로구,구로2동,126.8760995,37.50202099
마체베트어린이대공원점꿈,마루점,커피전문점/카페/다방,서울특별시,광진구,능동,127.0787567,37.55199976
엔젤리너스미아삼거리,,커피전문점/카페/다방,서울특별시,강북구,송중동,127.030937,37.61341049
카페드림,,커피전문점/카페/다방,서울특별시,양천구,신정2동,126.873267,37.52267291
카페끌림,,커피전문점/카페/다방,서울특별시,성북구,안암동,127.0222534,37.58887564
케이에이치아이,,커피전문점/카페/다방,서울특별시,종로구,종로1.2.3.4가동,126.990269,37.57607289
클렌치,,커피전문점/카페/다방,서울특별시,광진구,자양1동,127.0823004,37.53158248
95도CCoffee&버블티,,커피전문점/카페/다방,서울특별시,금천구,가산동,126.8836842,37.47722405
CafeThe9,,커피전문점/카페/다방,서울특별시,은평구,녹번동,126.9348278,37.60244549
BILLYANGEL,,커피전문점/카페/다방,서울특별시,서대문구,신촌동,126.9424829,37.55685879
뉴욕핫도그앤커피,잠실점,커피전문점/카페/다방,서울특별시,송파구,잠실본동,127.0836485,37.50831868
mr.black,,커피전문점/카페/다방,서울특별시,광진구,화양동,127.0731051,37.54593651
카페BONBON,,커피전문점/카페/다방,서울특별시,마포구,서교동,126.9176806,37.55403904
꽃샘커피,,커피전문점/카페/다방,서울특별시,금천구,독산4동,126.9031993,37.47097333
에이원커피,,커피전문점/카페/다방,서울특별시,서초구,서초3동,127.0097455,37.49274673
북카페로뎀,,커피전문점/카페/다방,서울특별시,강동구,길동,127.1359085,37.53742927
프리지어,,커피전문점/카페/다방,서울특별시,서초구,서초3동,127.0114883,37.48321013
지구촌카페,,커피전문점/카페/다방,서울특별시,구로구,가리봉동,126.8959847,37.47879032
발리커피숍,,커피전문점/카페/다방,서울특별시,강동구,명일1동,127.1442781,37.55160976
인타임카페,,커피전문점/카페/다방,서울특별시,강서구,가양1동,126.8389312,37.56215704
쎄리오,한양대병원점,커피전문점/카페/다방,서울특별시,성동구,사근동,127.0413247,37.5594688
카페앤,,커피전문점/카페/다방,서울특별시,노원구,중계본동,127.0825303,37.65119798
Riacoffee,,커피전문점/카페/다방,서울특별시,강남구,논현1동,127.0276149,37.5187464
원효로,,커피전문점/카페/다방,서울특별시,광진구,자양3동,127.0729442,37.53699681
타요키즈카페,은평뉴타운점,커피전문점/카페/다방,서울특별시,은평구,진관동,126.9185232,37.63427473
espressamente,,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.0358385,37.49944116
